CD_ORGAO,NOME_ORGAO,SIGLA_ORGAO,ESFERA,SETOR_GOVERNAMENTAL,CNPJ,HOME_PAGE,NATUREZA_JURIDICA,CONTABILIDADE,SITUACAO_ORGAO,CD_MUNICIPIO_TCERS,NOME_MUNICIPIO,CD_MUNICIPIO_IBGE
100,ASSEMBLEIA LEGISLATIVA,AL,ESTADUAL,LEGISLATIVO,88243688000181,www.al.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
200,TRIBUNAL DE CONTAS DO ESTADO DO RS,TCE,ESTADUAL,,89550032000174,www.tce.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
300,TRIBUNAL DE JUSTIÇA,TJRS,ESTADUAL,JUDICIARIO,89522064000166,www.tjrs.jus.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
400,TRIBUNAL DE ALÇADA,TA,ESTADUAL,JUDICIARIO,90752965000123,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
700,JUSTIÇA MILITAR DO ESTADO,JME,ESTADUAL,,89522064000247,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
800,GABINETE DO GOVERNADOR,GG,ESTADUAL,,87934675000196,www.estado.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
802,GABINETE DO VICE-GOVERNADOR,GVG,ESTADUAL,,87934675000196,www.gvg.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
805,CASA MILITAR,CM,ESTADUAL,,87934675000196,intra.piratini.rs.gov.br/inicial,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
807,CASA CIVIL,CC,ESTADUAL,,87934675000196,www.casacivil.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
809,ASSESSORIA DE IMPRENSA,AI,ESTADUAL,,87934675000196,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
900,PROCURADORIA-GERAL DE JUSTIÇA,PGJ/MP,ESTADUAL,,93802833000157,www.mprs.mp.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
915,Central de Compras do Estado,CECOM/RS,ESTADUAL,,,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
916,Central de Licitações,CELIC,ESTADUAL,,,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
1000,PROCURADORIA-GERAL DO ESTADO,PGE-RS,ESTADUAL,,89027825000103,www.pge.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
1001,PROCURADORIA DA REPÚBLICA NO RIO GRANDE DO SUL,PR-RS,ESTADUAL,,26989715002822,http://www.prrs.mpf.mp.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
1002,PROCURADORIA DA REPÚBLICA DA 4ª REGIÃO,PRR4,ESTADUAL,,94953767000189,http://www.prr4.mpf.mp.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
1005,DEFENSORIA PÚBLICA DO ESTADO,DEFPUB,ESTADUAL,,74704636000150,www.defensoria.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
1202,"JUNTA COMERCIAL, INDUSTRIAL E SERVIÇOS DO RIO GRANDE DO SUL",JUCISRS,ESTADUAL,AUTARQUIA,18104636000149,www.jucergs.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
1204,SUPERINTENDÊNCIA DOS SERVIÇOS PENITENCIÁRIOS,SUSEPE,ESTADUAL,,17176399000169,www.susepe.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
1410,CAIXA DE ADMINISTRAÇÃO DA DÍVIDA PÚBLICA ESTADUAL S.A.,CADIP,ESTADUAL,SOCIEDADE ANÔNIMA,979969000156,www.cadip.com.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
1504,DEPARTAMENTO DE PESCA - SAA,DPC-SAA,ESTADUAL,,93021632005858,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
1593,ASSOCIAÇÃO SULINA DE CRÉDITO E ASSISTÊNCIA RURAL,ASCAR,ESTADUAL,ASSOCIAÇÃO,92773142000100,www.emater.tche.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
1611,SERVIÇO DE CLASSIFICAÇÃO DE PRODUTOS VEGETAIS,CLAVESUL,ESTADUAL,,0,,PRIVADA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
2302,POLÍCIA CIVIL,PC,ESTADUAL,,58163000125,www.policiacivil.rs.gov.br   www.pc.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
2304,BRIGADA MILITAR,BM,ESTADUAL,,89175541000164,www.brigadamilitar.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
2502,FUND. ESTADUAL DE PESQUISA AGROPECUÁRIA,FEPAGRO,ESTADUAL,FUNDAÇÃO,97263461000199,www.fepagro.rs.gov.br,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
3400,SUPERINTENDÊNCIA DO PORTO DE RIO GRANDE,SUPRG,ESTADUAL,AUTARQUIA,1039203000154,www.portoriogrande.com.br,PUBLICA,4320/64,1-ATIVO,156,RIO GRANDE,4315602
3500,DEP. AUTÔNOMO DE ESTRADAS DE RODAGEM,DAER,ESTADUAL,AUTARQUIA,92883834000100,www.daer.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
3600,"DEPARTAMENTO ESTADUAL DE PORTOS, RIOS E CANAIS",DEPRC,ESTADUAL,AUTARQUIA,92808500000415,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
3700,DEPARTAMENTO AEROVIÁRIO DO ESTADO,DAE,ESTADUAL,AUTARQUIA,87958617000364,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
3800,INSTITUTO RIOGRANDENSE DO ARROZ,IRGA,ESTADUAL,AUTARQUIA,92854876000113,www.irga.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
3900,INSTITUTO SUL-RIOGRANDENSE DE CARNES,INSTUCARNE,ESTADUAL,AUTARQUIA,0,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
4000,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,BRDE,ESTADUAL,EMPRESA PÚBLICA,92816560000137,http://www.brde.com.br,PUBLICA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
4100,CAIXA ECONÔMICA ESTADUAL DO RS,CEE,ESTADUAL,AUTARQUIA,92818400000127,,PRIVADA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
4200,INST. DE PREVIDÊNCIA DO ESTADO RS,IPERGS,ESTADUAL,AUTARQUIA,92829100000143,www.ipe.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
4300,DEP. ESTADUAL DE TRÂNSITO,DETRAN/RS,ESTADUAL,AUTARQUIA,1935819000103,www.detran.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
4400,CONSELHO ESTADUAL DE EDUCAÇÃO,CEED,ESTADUAL,,88922877000180,www.ceed.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
4800,SECRETARIA DO PLANEJAMENTO TERRITORIAL E OBRAS,SPTO,ESTADUAL,,87958641000131,,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
5100,FUND. DE AMPARO À PESQUISA DO ESTADO,FAPERGS,ESTADUAL,FUNDAÇÃO,93017663000108,www.fapergs.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
5200,FUND. DE CIÊNCIA E TECNOLOGIA,CIENTEC,ESTADUAL,FUNDAÇÃO,92816685000167,www.cientec.rs.gov.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
5300,FUND. DE ECONOMIA E ESTATÍSTICA SIEGFRIED EMANUEL HEUSER,FEE,ESTADUAL,FUNDAÇÃO,87182796000129,www.fee.rs.gov.br,PRIVADA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
5400,FUND. PARA O DESENV. DE RECURSOS HUMANOS,FDRH,ESTADUAL,FUNDAÇÃO,87136883000140,www.fdrh.rs.gov.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
5500,FUND. DE ATENDIMENTO AO DEFICIENTE E AO SUPERDOTADO,FADERS,ESTADUAL,FUNDAÇÃO,92100155000118,,PRIVADA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
5600,FUND. ESCOLA TÉCNICA LIBERATO SALZANO VIEIRA DA CUNHA,FETLSVC,ESTADUAL,FUNDAÇÃO,91683474000130,www.liberato.com.br,PRIVADA,4320/64,1-ATIVO,134,NOVO HAMBURGO,4313409
